Date,Province,District,Total Cases,Recovered,Death,Under Treatment
2020-10-12,Province 1,Ilam,124,98,0,26
2020-10-12,Province 1,Udayapur,247,156,1,90
2020-10-12,Province 1,Okhaldhunga,135,96,0,39
2020-10-12,Province 1,Khotang,86,61,0,25
2020-10-12,Province 1,Jhapa,1166,878,9,279
2020-10-12,Province 1,Taplejung,34,24,0,10
2020-10-12,Province 1,Terhathum,46,35,1,10
2020-10-12,Province 1,Dhankuta,81,57,1,23
2020-10-12,Province 1,Panchthar,41,37,0,4
2020-10-12,Province 1,Bhojpur,58,43,0,15
2020-10-12,Province 1,Morang,5330,3348,39,1943
2020-10-12,Province 1,Sankhuwasabha,112,85,0,27
2020-10-12,Province 1,Sunsari,3263,1753,29,1481
2020-10-12,Province 1,Solukhumbu,19,16,0,3
2020-10-12,Province 2,Dhanusa,2127,1991,20,116
2020-10-12,Province 2,Parsa,2969,2779,46,144
2020-10-12,Province 2,Bara,1656,1534,18,104
2020-10-12,Province 2,Mahottari,1660,1556,13,91
2020-10-12,Province 2,Rautahat,2420,2176,9,235
2020-10-12,Province 2,Saptari,1428,1242,11,175
2020-10-12,Province 2,Sarlahi,2514,2410,12,92
2020-10-12,Province 2,Siraha,1617,1402,11,204
2020-10-12,Bagmati,Kathmandu,35636,19548,137,15951
2020-10-12,Bagmati,Kavrepalanchok,911,538,5,368
2020-10-12,Bagmati,Chitawan,3120,2125,32,963
2020-10-12,Bagmati,Dolakha,173,129,5,39
2020-10-12,Bagmati,Dhading,679,451,4,224
2020-10-12,Bagmati,Nuwakot,321,170,1,150
2020-10-12,Bagmati,Bhaktapur,3500,2125,28,1347
2020-10-12,Bagmati,Makwanpur,1928,1350,16,562
2020-10-12,Bagmati,Rasuwa,30,19,1,10
2020-10-12,Bagmati,Ramechhap,248,172,0,76
2020-10-12,Bagmati,Lalitpur,4935,2455,39,2441
2020-10-12,Bagmati,Sindhupalchok,262,163,7,92
2020-10-12,Bagmati,Sindhuli,264,144,0,120
2020-10-12,Gandaki,Kaski,1347,979,12,356
2020-10-12,Gandaki,Gorkha,541,383,6,152
2020-10-12,Gandaki,Tanahu,658,471,5,182
2020-10-12,Gandaki,Nawalparasi East,1300,945,4,351
2020-10-12,Gandaki,Parbat,158,142,0,16
2020-10-12,Gandaki,Manang,4,4,0,0
2020-10-12,Gandaki,Mustang,2,1,0,1
2020-10-12,Gandaki,Myagdi,69,53,1,15
2020-10-12,Gandaki,Lamjung,507,452,0,55
2020-10-12,Gandaki,Baglung,575,420,1,154
2020-10-12,Gandaki,Syangja,497,405,3,89
2020-10-12,Province 5,Arghakhanchi,564,469,2,93
2020-10-12,Province 5,Kapilbastu,1476,1346,11,119
2020-10-12,Province 5,Gulmi,653,543,4,106
2020-10-12,Province 5,Dang,1546,1079,3,464
2020-10-12,Province 5,Nawalparasi West,696,569,9,118
2020-10-12,Province 5,Palpa,916,764,4,148
2020-10-12,Province 5,Pyuthan,675,562,2,111
2020-10-12,Province 5,Bardiya,943,700,5,238
2020-10-12,Province 5,Banke,2478,1938,20,520
2020-10-12,Province 5,Rukum East,86,79,0,7
2020-10-12,Province 5,Rupandehi,3939,2588,36,1315
2020-10-12,Province 5,Rolpa,164,144,0,20
2020-10-12,Karnali,Kalikot,162,123,0,39
2020-10-12,Karnali,Jajarkot,74,73,0,1
2020-10-12,Karnali,Jumla,294,220,0,74
2020-10-12,Karnali,Dolpa,13,5,1,7
2020-10-12,Karnali,Dailekh,1205,1117,1,87
2020-10-12,Karnali,Mugu,15,13,0,2
2020-10-12,Karnali,Rukum West,149,109,0,40
2020-10-12,Karnali,Salyan,453,413,0,40
2020-10-12,Karnali,Surkhet,2102,1402,5,695
2020-10-12,Karnali,Humla,14,5,0,9
2020-10-12,Sudurpaschim,Achham,1107,1071,3,33
2020-10-12,Sudurpaschim,Kanchanpur,959,842,1,116
2020-10-12,Sudurpaschim,Kailali,2944,2472,9,463
2020-10-12,Sudurpaschim,Dadeldhura,371,356,0,15
2020-10-12,Sudurpaschim,Doti,1111,1089,0,22
2020-10-12,Sudurpaschim,Darchula,172,112,0,60
2020-10-12,Sudurpaschim,Bajhang,613,600,1,12
2020-10-12,Sudurpaschim,Bajura,634,630,1,3
2020-10-12,Sudurpaschim,Baitadi,476,423,0,53
