Date,Province,District,Total Cases,Recovered,Death,Under Treatment
2020-12-28,Province 1,Ilam,462,448,5,9
2020-12-28,Province 1,Udayapur,657,644,9,4
2020-12-28,Province 1,Okhaldhunga,261,242,4,15
2020-12-28,Province 1,Khotang,213,208,0,5
2020-12-28,Province 1,Jhapa,4883,4816,36,31
2020-12-28,Province 1,Taplejung,158,152,0,6
2020-12-28,Province 1,Terhathum,151,138,5,8
2020-12-28,Province 1,Dhankuta,263,251,7,5
2020-12-28,Province 1,Panchthar,171,168,1,2
2020-12-28,Province 1,Bhojpur,155,150,2,3
2020-12-28,Province 1,Morang,12942,12837,66,39
2020-12-28,Province 1,Sankhuwasabha,385,380,1,4
2020-12-28,Province 1,Sunsari,8985,8888,76,21
2020-12-28,Province 1,Solukhumbu,187,181,3,3
2020-12-28,Province 2,Dhanusa,3034,3002,27,5
2020-12-28,Province 2,Parsa,3458,3394,54,10
2020-12-28,Province 2,Bara,2136,2102,29,5
2020-12-28,Province 2,Mahottari,2034,2015,19,0
2020-12-28,Province 2,Rautahat,2779,2759,17,3
2020-12-28,Province 2,Saptari,2105,2079,24,2
2020-12-28,Province 2,Sarlahi,2828,2808,20,0
2020-12-28,Province 2,Siraha,2256,2235,21,0
2020-12-28,Bagmati,Kathmandu,96461,93172,466,2823
2020-12-28,Bagmati,Kavrepalanchok,3429,3291,30,108
2020-12-28,Bagmati,Chitawan,7349,7224,61,64
2020-12-28,Bagmati,Dolakha,724,664,12,48
2020-12-28,Bagmati,Dhading,1691,1638,22,31
2020-12-28,Bagmati,Nuwakot,1426,1368,14,44
2020-12-28,Bagmati,Bhaktapur,8803,8551,98,154
2020-12-28,Bagmati,Makwanpur,4306,4194,33,79
2020-12-28,Bagmati,Rasuwa,210,202,1,7
2020-12-28,Bagmati,Ramechhap,534,521,8,5
2020-12-28,Bagmati,Lalitpur,15117,14583,145,389
2020-12-28,Bagmati,Sindhupalchok,967,937,14,16
2020-12-28,Bagmati,Sindhuli,565,528,6,31
2020-12-28,Gandaki,Kaski,6910,6466,99,345
2020-12-28,Gandaki,Gorkha,1437,1372,17,48
2020-12-28,Gandaki,Tanahu,1757,1679,28,50
2020-12-28,Gandaki,Nawalparasi East,2965,2936,7,22
2020-12-28,Gandaki,Parbat,448,424,4,20
2020-12-28,Gandaki,Manang,10,5,0,5
2020-12-28,Gandaki,Mustang,42,39,2,1
2020-12-28,Gandaki,Myagdi,244,215,4,25
2020-12-28,Gandaki,Lamjung,1080,1001,6,73
2020-12-28,Gandaki,Baglung,1164,1131,4,29
2020-12-28,Gandaki,Syangja,1149,1101,13,35
2020-12-28,Province 5,Arghakhanchi,972,917,9,46
2020-12-28,Province 5,Kapilbastu,2168,2103,18,47
2020-12-28,Province 5,Gulmi,1164,1107,10,47
2020-12-28,Province 5,Dang,3974,3801,35,138
2020-12-28,Province 5,Nawalparasi West,1541,1484,20,37
2020-12-28,Province 5,Palpa,2089,2030,6,53
2020-12-28,Province 5,Pyuthan,1053,1029,5,19
2020-12-28,Province 5,Bardiya,1825,1762,13,50
2020-12-28,Province 5,Banke,4563,4437,39,87
2020-12-28,Province 5,Rukum East,111,106,0,5
2020-12-28,Province 5,Rupandehi,9087,8688,71,328
2020-12-28,Province 5,Rolpa,299,283,3,13
2020-12-28,Karnali,Kalikot,289,283,2,4
2020-12-28,Karnali,Jajarkot,117,111,0,6
2020-12-28,Karnali,Jumla,469,441,1,27
2020-12-28,Karnali,Dolpa,47,30,1,16
2020-12-28,Karnali,Dailekh,1617,1606,4,7
2020-12-28,Karnali,Mugu,35,35,0,0
2020-12-28,Karnali,Rukum West,253,251,2,0
2020-12-28,Karnali,Salyan,669,652,0,17
2020-12-28,Karnali,Surkhet,2902,2814,14,74
2020-12-28,Karnali,Humla,35,30,1,4
2020-12-28,Sudurpaschim,Achham,1718,1641,5,72
2020-12-28,Sudurpaschim,Kanchanpur,1804,1609,11,184
2020-12-28,Sudurpaschim,Kailali,5807,5422,32,353
2020-12-28,Sudurpaschim,Dadeldhura,736,691,0,45
2020-12-28,Sudurpaschim,Doti,1404,1387,2,15
2020-12-28,Sudurpaschim,Darchula,398,385,4,9
2020-12-28,Sudurpaschim,Bajhang,992,952,1,39
2020-12-28,Sudurpaschim,Bajura,707,693,1,13
2020-12-28,Sudurpaschim,Baitadi,704,662,2,40
