Date,Province,District,Total Cases,Recovered,Death,Under Treatment
2021-06-28,Province 1,Ilam,980,845,38,97
2021-06-28,Province 1,Udayapur,1487,1215,46,226
2021-06-28,Province 1,Okhaldhunga,1231,1108,23,100
2021-06-28,Province 1,Khotang,918,801,20,97
2021-06-28,Province 1,Jhapa,15084,13623,298,1163
2021-06-28,Province 1,Taplejung,739,594,6,139
2021-06-28,Province 1,Terhathum,513,381,18,114
2021-06-28,Province 1,Dhankuta,1328,1164,40,124
2021-06-28,Province 1,Panchthar,644,437,23,184
2021-06-28,Province 1,Bhojpur,433,334,22,77
2021-06-28,Province 1,Morang,29047,26835,307,1905
2021-06-28,Province 1,Sankhuwasabha,1205,975,15,215
2021-06-28,Province 1,Sunsari,17622,15894,301,1427
2021-06-28,Province 1,Solukhumbu,461,370,21,70
2021-06-28,Province 2,Dhanusa,9003,8081,84,838
2021-06-28,Province 2,Parsa,7427,6966,138,323
2021-06-28,Province 2,Bara,4697,4090,106,501
2021-06-28,Province 2,Mahottari,4715,4401,51,263
2021-06-28,Province 2,Rautahat,4476,4213,71,192
2021-06-28,Province 2,Saptari,4252,3817,96,339
2021-06-28,Province 2,Sarlahi,4635,4292,96,247
2021-06-28,Province 2,Siraha,4176,3747,81,348
2021-06-28,Bagmati,Kathmandu,203852,197529,1870,4453
2021-06-28,Bagmati,Kavrepalanchok,10826,9683,236,907
2021-06-28,Bagmati,Chitawan,16739,15536,219,984
2021-06-28,Bagmati,Dolakha,2294,1800,72,422
2021-06-28,Bagmati,Dhading,6061,5056,87,918
2021-06-28,Bagmati,Nuwakot,5863,4815,89,959
2021-06-28,Bagmati,Bhaktapur,22129,20027,364,1738
2021-06-28,Bagmati,Makwanpur,9669,8564,178,927
2021-06-28,Bagmati,Rasuwa,932,738,9,185
2021-06-28,Bagmati,Ramechhap,2222,1810,76,336
2021-06-28,Bagmati,Lalitpur,37337,34590,541,2206
2021-06-28,Bagmati,Sindhupalchok,5406,4701,86,619
2021-06-28,Bagmati,Sindhuli,2686,2141,68,477
2021-06-28,Gandaki,Kaski,22676,21437,356,883
2021-06-28,Gandaki,Gorkha,4775,4397,69,309
2021-06-28,Gandaki,Tanahu,4396,3943,113,340
2021-06-28,Gandaki,Nawalparasi East,6400,5429,91,880
2021-06-28,Gandaki,Parbat,1818,1376,34,408
2021-06-28,Gandaki,Manang,148,54,3,91
2021-06-28,Gandaki,Mustang,131,94,15,22
2021-06-28,Gandaki,Myagdi,1646,1245,27,374
2021-06-28,Gandaki,Lamjung,2721,2363,47,311
2021-06-28,Gandaki,Baglung,5017,4383,60,574
2021-06-28,Gandaki,Syangja,3152,2859,107,186
2021-06-28,Province 5,Arghakhanchi,2233,1958,52,223
2021-06-28,Province 5,Kapilbastu,4436,4028,72,336
2021-06-28,Province 5,Gulmi,3003,2705,60,238
2021-06-28,Province 5,Dang,12471,11666,265,540
2021-06-28,Province 5,Nawalparasi West,3742,3236,94,412
2021-06-28,Province 5,Palpa,5928,5299,84,545
2021-06-28,Province 5,Pyuthan,1432,1286,61,85
2021-06-28,Province 5,Bardiya,5719,5092,109,518
2021-06-28,Province 5,Banke,17602,16981,204,417
2021-06-28,Province 5,Rukum East,190,168,13,9
2021-06-28,Province 5,Rupandehi,28705,26826,489,1390
2021-06-28,Province 5,Rolpa,1319,1013,27,279
2021-06-28,Karnali,Kalikot,710,607,15,88
2021-06-28,Karnali,Jajarkot,783,654,11,118
2021-06-28,Karnali,Jumla,1034,813,7,214
2021-06-28,Karnali,Dolpa,105,88,8,9
2021-06-28,Karnali,Dailekh,2996,2746,50,200
2021-06-28,Karnali,Mugu,78,56,6,16
2021-06-28,Karnali,Rukum West,902,613,39,250
2021-06-28,Karnali,Salyan,1896,1663,78,155
2021-06-28,Karnali,Surkhet,10463,9667,156,640
2021-06-28,Karnali,Humla,92,77,3,12
2021-06-28,Sudurpaschim,Achham,3876,3418,14,444
2021-06-28,Sudurpaschim,Kanchanpur,5435,5097,129,209
2021-06-28,Sudurpaschim,Kailali,16053,14983,216,854
2021-06-28,Sudurpaschim,Dadeldhura,1997,1599,10,388
2021-06-28,Sudurpaschim,Doti,2632,2276,14,342
2021-06-28,Sudurpaschim,Darchula,932,831,16,85
2021-06-28,Sudurpaschim,Bajhang,1155,1127,9,19
2021-06-28,Sudurpaschim,Bajura,783,768,7,8
2021-06-28,Sudurpaschim,Baitadi,2517,2093,15,409
