Date,Province,District,Total Cases,Recovered,Death,Under Treatment
2020-10-13,Province 1,Ilam,126,99,0,27
2020-10-13,Province 1,Udayapur,248,158,1,89
2020-10-13,Province 1,Okhaldhunga,140,96,0,44
2020-10-13,Province 1,Khotang,89,61,0,28
2020-10-13,Province 1,Jhapa,1168,887,9,272
2020-10-13,Province 1,Taplejung,35,24,0,11
2020-10-13,Province 1,Terhathum,47,37,1,9
2020-10-13,Province 1,Dhankuta,82,57,1,24
2020-10-13,Province 1,Panchthar,42,37,0,5
2020-10-13,Province 1,Bhojpur,58,44,0,14
2020-10-13,Province 1,Morang,5345,3449,39,1857
2020-10-13,Province 1,Sankhuwasabha,113,85,0,28
2020-10-13,Province 1,Sunsari,3552,1784,29,1739
2020-10-13,Province 1,Solukhumbu,20,16,0,4
2020-10-13,Province 2,Dhanusa,2135,1991,20,124
2020-10-13,Province 2,Parsa,2979,2779,46,154
2020-10-13,Province 2,Bara,1672,1534,18,120
2020-10-13,Province 2,Mahottari,1667,1558,14,95
2020-10-13,Province 2,Rautahat,2425,2176,9,240
2020-10-13,Province 2,Saptari,1481,1247,11,223
2020-10-13,Province 2,Sarlahi,2521,2416,12,93
2020-10-13,Province 2,Siraha,1631,1410,12,209
2020-10-13,Bagmati,Kathmandu,37382,20364,142,16876
2020-10-13,Bagmati,Kavrepalanchok,922,538,5,379
2020-10-13,Bagmati,Chitawan,3168,2211,33,924
2020-10-13,Bagmati,Dolakha,184,129,6,49
2020-10-13,Bagmati,Dhading,688,451,4,233
2020-10-13,Bagmati,Nuwakot,338,170,3,165
2020-10-13,Bagmati,Bhaktapur,3667,2183,30,1454
2020-10-13,Bagmati,Makwanpur,2058,1356,16,686
2020-10-13,Bagmati,Rasuwa,30,19,1,10
2020-10-13,Bagmati,Ramechhap,256,174,0,82
2020-10-13,Bagmati,Lalitpur,5151,2523,41,2587
2020-10-13,Bagmati,Sindhupalchok,276,164,7,105
2020-10-13,Bagmati,Sindhuli,280,147,0,133
2020-10-13,Gandaki,Kaski,1367,995,12,360
2020-10-13,Gandaki,Gorkha,552,385,6,161
2020-10-13,Gandaki,Tanahu,662,471,5,186
2020-10-13,Gandaki,Nawalparasi East,1306,960,4,342
2020-10-13,Gandaki,Parbat,161,142,0,19
2020-10-13,Gandaki,Manang,4,4,0,0
2020-10-13,Gandaki,Mustang,2,1,0,1
2020-10-13,Gandaki,Myagdi,72,53,1,18
2020-10-13,Gandaki,Lamjung,512,452,0,60
2020-10-13,Gandaki,Baglung,576,420,1,155
2020-10-13,Gandaki,Syangja,517,407,3,107
2020-10-13,Province 5,Arghakhanchi,574,469,3,102
2020-10-13,Province 5,Kapilbastu,1486,1364,11,111
2020-10-13,Province 5,Gulmi,663,545,4,114
2020-10-13,Province 5,Dang,1600,1090,3,507
2020-10-13,Province 5,Nawalparasi West,708,574,9,125
2020-10-13,Province 5,Palpa,923,770,4,149
2020-10-13,Province 5,Pyuthan,683,562,2,119
2020-10-13,Province 5,Bardiya,961,719,5,237
2020-10-13,Province 5,Banke,2524,1979,20,525
2020-10-13,Province 5,Rukum East,86,79,0,7
2020-10-13,Province 5,Rupandehi,4167,2683,38,1446
2020-10-13,Province 5,Rolpa,166,145,0,21
2020-10-13,Karnali,Kalikot,168,123,0,45
2020-10-13,Karnali,Jajarkot,74,73,0,1
2020-10-13,Karnali,Jumla,299,220,0,79
2020-10-13,Karnali,Dolpa,17,5,1,11
2020-10-13,Karnali,Dailekh,1214,1117,1,96
2020-10-13,Karnali,Mugu,15,13,0,2
2020-10-13,Karnali,Rukum West,150,110,0,40
2020-10-13,Karnali,Salyan,502,413,0,89
2020-10-13,Karnali,Surkhet,2160,1419,5,736
2020-10-13,Karnali,Humla,14,5,0,9
2020-10-13,Sudurpaschim,Achham,1109,1071,3,35
2020-10-13,Sudurpaschim,Kanchanpur,970,850,1,119
2020-10-13,Sudurpaschim,Kailali,2993,2499,9,485
2020-10-13,Sudurpaschim,Dadeldhura,391,357,0,34
2020-10-13,Sudurpaschim,Doti,1125,1090,0,35
2020-10-13,Sudurpaschim,Darchula,175,112,0,63
2020-10-13,Sudurpaschim,Bajhang,617,600,1,16
2020-10-13,Sudurpaschim,Bajura,634,630,1,3
2020-10-13,Sudurpaschim,Baitadi,483,430,0,53
