Date,Province,District,Total Cases,Recovered,Death,Under Treatment
2021-01-03,Province 1,Ilam,464,453,5,6
2021-01-03,Province 1,Udayapur,658,647,9,2
2021-01-03,Province 1,Okhaldhunga,264,247,5,12
2021-01-03,Province 1,Khotang,216,211,0,5
2021-01-03,Province 1,Jhapa,4924,4848,36,40
2021-01-03,Province 1,Taplejung,159,158,0,1
2021-01-03,Province 1,Terhathum,151,142,5,4
2021-01-03,Province 1,Dhankuta,264,253,7,4
2021-01-03,Province 1,Panchthar,173,170,1,2
2021-01-03,Province 1,Bhojpur,158,152,2,4
2021-01-03,Province 1,Morang,13022,12933,66,23
2021-01-03,Province 1,Sankhuwasabha,385,382,1,2
2021-01-03,Province 1,Sunsari,9031,8943,76,12
2021-01-03,Province 1,Solukhumbu,188,184,4,0
2021-01-03,Province 2,Dhanusa,3040,3002,27,11
2021-01-03,Province 2,Parsa,3461,3400,54,7
2021-01-03,Province 2,Bara,2138,2102,31,5
2021-01-03,Province 2,Mahottari,2036,2015,19,2
2021-01-03,Province 2,Rautahat,2782,2759,17,6
2021-01-03,Province 2,Saptari,2107,2079,25,3
2021-01-03,Province 2,Sarlahi,2831,2808,21,2
2021-01-03,Province 2,Siraha,2257,2235,21,1
2021-01-03,Bagmati,Kathmandu,97608,94562,475,2571
2021-01-03,Bagmati,Kavrepalanchok,3459,3385,31,43
2021-01-03,Bagmati,Chitawan,7505,7331,61,113
2021-01-03,Bagmati,Dolakha,739,689,12,38
2021-01-03,Bagmati,Dhading,1710,1668,23,19
2021-01-03,Bagmati,Nuwakot,1445,1392,17,36
2021-01-03,Bagmati,Bhaktapur,8918,8683,107,128
2021-01-03,Bagmati,Makwanpur,4343,4253,34,56
2021-01-03,Bagmati,Rasuwa,225,204,1,20
2021-01-03,Bagmati,Ramechhap,549,528,9,12
2021-01-03,Bagmati,Lalitpur,15330,14861,146,323
2021-01-03,Bagmati,Sindhupalchok,973,949,14,10
2021-01-03,Bagmati,Sindhuli,573,534,7,32
2021-01-03,Gandaki,Kaski,7092,6747,100,245
2021-01-03,Gandaki,Gorkha,1456,1383,17,56
2021-01-03,Gandaki,Tanahu,1771,1729,28,14
2021-01-03,Gandaki,Nawalparasi East,3000,2975,7,18
2021-01-03,Gandaki,Parbat,452,439,4,9
2021-01-03,Gandaki,Manang,10,8,0,2
2021-01-03,Gandaki,Mustang,42,39,2,1
2021-01-03,Gandaki,Myagdi,251,235,4,12
2021-01-03,Gandaki,Lamjung,1088,1069,6,13
2021-01-03,Gandaki,Baglung,1175,1156,5,14
2021-01-03,Gandaki,Syangja,1161,1130,13,18
2021-01-03,Province 5,Arghakhanchi,983,946,9,28
2021-01-03,Province 5,Kapilbastu,2194,2120,18,56
2021-01-03,Province 5,Gulmi,1186,1123,10,53
2021-01-03,Province 5,Dang,4043,3871,36,136
2021-01-03,Province 5,Nawalparasi West,1567,1513,21,33
2021-01-03,Province 5,Palpa,2138,2071,6,61
2021-01-03,Province 5,Pyuthan,1059,1037,5,17
2021-01-03,Province 5,Bardiya,1850,1805,14,31
2021-01-03,Province 5,Banke,4656,4525,41,90
2021-01-03,Province 5,Rukum East,114,106,0,8
2021-01-03,Province 5,Rupandehi,9202,8868,73,261
2021-01-03,Province 5,Rolpa,301,291,3,7
2021-01-03,Karnali,Kalikot,291,285,2,4
2021-01-03,Karnali,Jajarkot,118,115,0,3
2021-01-03,Karnali,Jumla,471,448,1,22
2021-01-03,Karnali,Dolpa,47,42,1,4
2021-01-03,Karnali,Dailekh,1620,1613,4,3
2021-01-03,Karnali,Mugu,35,35,0,0
2021-01-03,Karnali,Rukum West,254,251,2,1
2021-01-03,Karnali,Salyan,669,664,0,5
2021-01-03,Karnali,Surkhet,2911,2860,14,37
2021-01-03,Karnali,Humla,35,31,1,3
2021-01-03,Sudurpaschim,Achham,1730,1700,5,25
2021-01-03,Sudurpaschim,Kanchanpur,1865,1687,11,167
2021-01-03,Sudurpaschim,Kailali,5930,5566,34,330
2021-01-03,Sudurpaschim,Dadeldhura,749,722,0,27
2021-01-03,Sudurpaschim,Doti,1409,1396,2,11
2021-01-03,Sudurpaschim,Darchula,407,388,4,15
2021-01-03,Sudurpaschim,Bajhang,1007,971,2,34
2021-01-03,Sudurpaschim,Bajura,715,698,2,15
2021-01-03,Sudurpaschim,Baitadi,719,674,2,43
