Date,Province,District,Total Cases,Recovered,Death,Under Treatment
2020-09-29,Province 1,Ilam,99,95,0,4
2020-09-29,Province 1,Udayapur,171,152,1,18
2020-09-29,Province 1,Okhaldhunga,112,79,0,33
2020-09-29,Province 1,Khotang,58,55,0,3
2020-09-29,Province 1,Jhapa,901,782,7,112
2020-09-29,Province 1,Taplejung,25,22,0,3
2020-09-29,Province 1,Terhathum,38,29,0,9
2020-09-29,Province 1,Dhankuta,57,53,0,4
2020-09-29,Province 1,Panchthar,37,31,0,6
2020-09-29,Province 1,Bhojpur,46,24,0,22
2020-09-29,Province 1,Morang,3654,2399,34,1221
2020-09-29,Province 1,Sankhuwasabha,89,80,0,9
2020-09-29,Province 1,Sunsari,1893,1309,16,568
2020-09-29,Province 1,Solukhumbu,15,14,0,1
2020-09-29,Province 2,Dhanusa,2000,1956,19,25
2020-09-29,Province 2,Parsa,2814,2677,45,92
2020-09-29,Province 2,Bara,1530,1382,18,130
2020-09-29,Province 2,Mahottari,1570,1523,13,34
2020-09-29,Province 2,Rautahat,2144,2112,8,24
2020-09-29,Province 2,Saptari,1270,1103,11,156
2020-09-29,Province 2,Sarlahi,2413,2355,8,50
2020-09-29,Province 2,Siraha,1464,790,10,664
2020-09-29,Bagmati,Kathmandu,20391,9952,100,10339
2020-09-29,Bagmati,Kavrepalanchok,555,379,5,171
2020-09-29,Bagmati,Chitawan,2248,1398,19,831
2020-09-29,Bagmati,Dolakha,135,98,4,33
2020-09-29,Bagmati,Dhading,479,321,3,155
2020-09-29,Bagmati,Nuwakot,181,113,0,68
2020-09-29,Bagmati,Bhaktapur,2188,1152,22,1014
2020-09-29,Bagmati,Makwanpur,1411,980,12,419
2020-09-29,Bagmati,Rasuwa,19,17,1,1
2020-09-29,Bagmati,Ramechhap,168,117,0,51
2020-09-29,Bagmati,Lalitpur,2526,1322,22,1182
2020-09-29,Bagmati,Sindhupalchok,169,131,5,33
2020-09-29,Bagmati,Sindhuli,148,110,0,38
2020-09-29,Gandaki,Kaski,1038,619,11,408
2020-09-29,Gandaki,Gorkha,410,294,5,111
2020-09-29,Gandaki,Tanahu,486,380,5,101
2020-09-29,Gandaki,Nawalparasi East,983,782,1,200
2020-09-29,Gandaki,Parbat,141,129,0,12
2020-09-29,Gandaki,Manang,4,4,0,0
2020-09-29,Gandaki,Mustang,1,1,0,0
2020-09-29,Gandaki,Myagdi,54,51,1,2
2020-09-29,Gandaki,Lamjung,423,383,0,40
2020-09-29,Gandaki,Baglung,436,361,1,74
2020-09-29,Gandaki,Syangja,443,375,3,65
2020-09-29,Province 5,Arghakhanchi,448,443,2,3
2020-09-29,Province 5,Kapilbastu,1380,1272,11,97
2020-09-29,Province 5,Gulmi,549,477,4,68
2020-09-29,Province 5,Dang,1183,910,2,271
2020-09-29,Province 5,Nawalparasi West,545,515,8,49
2020-09-29,Province 5,Palpa,778,700,4,74
2020-09-29,Province 5,Pyuthan,564,501,2,61
2020-09-29,Province 5,Bardiya,725,562,5,158
2020-09-29,Province 5,Banke,1965,1565,16,384
2020-09-29,Province 5,Rukum East,79,72,0,7
2020-09-29,Province 5,Rupandehi,2773,1784,27,962
2020-09-29,Province 5,Rolpa,147,110,0,37
2020-09-29,Karnali,Kalikot,131,120,0,11
2020-09-29,Karnali,Jajarkot,74,67,0,7
2020-09-29,Karnali,Jumla,264,220,0,44
2020-09-29,Karnali,Dolpa,6,5,1,0
2020-09-29,Karnali,Dailekh,1119,1096,1,22
2020-09-29,Karnali,Mugu,15,13,0,2
2020-09-29,Karnali,Rukum West,113,100,0,13
2020-09-29,Karnali,Salyan,417,355,0,62
2020-09-29,Karnali,Surkhet,1428,987,3,438
2020-09-29,Karnali,Humla,7,5,0,2
2020-09-29,Sudurpaschim,Achham,1073,1031,3,39
2020-09-29,Sudurpaschim,Kanchanpur,836,802,0,34
2020-09-29,Sudurpaschim,Kailali,2492,2153,8,331
2020-09-29,Sudurpaschim,Dadeldhura,353,348,0,5
2020-09-29,Sudurpaschim,Doti,1074,1037,0,37
2020-09-29,Sudurpaschim,Darchula,96,82,0,14
2020-09-29,Sudurpaschim,Bajhang,588,537,1,50
2020-09-29,Sudurpaschim,Bajura,630,627,1,2
2020-09-29,Sudurpaschim,Baitadi,439,402,0,37
