Date,Province,District,Total Cases,Recovered,Death,Under Treatment
2020-12-26,Province 1,Ilam,460,447,5,8
2020-12-26,Province 1,Udayapur,655,639,9,7
2020-12-26,Province 1,Okhaldhunga,261,236,4,21
2020-12-26,Province 1,Khotang,212,207,0,5
2020-12-26,Province 1,Jhapa,4863,4805,36,22
2020-12-26,Province 1,Taplejung,158,152,0,6
2020-12-26,Province 1,Terhathum,149,136,5,8
2020-12-26,Province 1,Dhankuta,263,251,7,5
2020-12-26,Province 1,Panchthar,170,165,1,4
2020-12-26,Province 1,Bhojpur,155,148,2,5
2020-12-26,Province 1,Morang,12909,12819,66,24
2020-12-26,Province 1,Sankhuwasabha,382,379,1,2
2020-12-26,Province 1,Sunsari,8969,8886,76,7
2020-12-26,Province 1,Solukhumbu,187,180,3,4
2020-12-26,Province 2,Dhanusa,3030,2994,27,9
2020-12-26,Province 2,Parsa,3455,3385,54,16
2020-12-26,Province 2,Bara,2135,2099,29,7
2020-12-26,Province 2,Mahottari,2034,2013,19,2
2020-12-26,Province 2,Rautahat,2776,2758,17,1
2020-12-26,Province 2,Saptari,2105,2078,24,3
2020-12-26,Province 2,Sarlahi,2828,2807,20,1
2020-12-26,Province 2,Siraha,2256,2234,21,1
2020-12-26,Bagmati,Kathmandu,96079,92605,460,3014
2020-12-26,Bagmati,Kavrepalanchok,3404,3276,30,98
2020-12-26,Bagmati,Chitawan,7310,7194,61,55
2020-12-26,Bagmati,Dolakha,716,660,12,44
2020-12-26,Bagmati,Dhading,1684,1625,20,39
2020-12-26,Bagmati,Nuwakot,1420,1339,14,67
2020-12-26,Bagmati,Bhaktapur,8775,8490,98,187
2020-12-26,Bagmati,Makwanpur,4288,4181,33,74
2020-12-26,Bagmati,Rasuwa,209,197,1,11
2020-12-26,Bagmati,Ramechhap,533,519,7,7
2020-12-26,Bagmati,Lalitpur,15041,14457,145,439
2020-12-26,Bagmati,Sindhupalchok,965,931,14,20
2020-12-26,Bagmati,Sindhuli,561,524,6,31
2020-12-26,Gandaki,Kaski,6823,6376,99,348
2020-12-26,Gandaki,Gorkha,1432,1354,16,62
2020-12-26,Gandaki,Tanahu,1747,1661,28,58
2020-12-26,Gandaki,Nawalparasi East,2959,2933,7,19
2020-12-26,Gandaki,Parbat,446,418,4,24
2020-12-26,Gandaki,Manang,10,5,0,5
2020-12-26,Gandaki,Mustang,42,39,2,1
2020-12-26,Gandaki,Myagdi,244,214,4,26
2020-12-26,Gandaki,Lamjung,1076,982,6,88
2020-12-26,Gandaki,Baglung,1156,1127,4,25
2020-12-26,Gandaki,Syangja,1133,1088,13,32
2020-12-26,Province 5,Arghakhanchi,966,908,9,49
2020-12-26,Province 5,Kapilbastu,2166,2099,18,49
2020-12-26,Province 5,Gulmi,1157,1100,10,47
2020-12-26,Province 5,Dang,3966,3792,35,139
2020-12-26,Province 5,Nawalparasi West,1526,1469,20,37
2020-12-26,Province 5,Palpa,2077,2015,6,56
2020-12-26,Province 5,Pyuthan,1050,1021,5,24
2020-12-26,Province 5,Bardiya,1816,1751,13,52
2020-12-26,Province 5,Banke,4538,4396,39,103
2020-12-26,Province 5,Rukum East,111,105,0,6
2020-12-26,Province 5,Rupandehi,9048,8638,70,340
2020-12-26,Province 5,Rolpa,297,280,3,14
2020-12-26,Karnali,Kalikot,288,283,2,3
2020-12-26,Karnali,Jajarkot,117,111,0,6
2020-12-26,Karnali,Jumla,468,441,1,26
2020-12-26,Karnali,Dolpa,47,30,1,16
2020-12-26,Karnali,Dailekh,1615,1605,4,6
2020-12-26,Karnali,Mugu,35,35,0,0
2020-12-26,Karnali,Rukum West,253,251,2,0
2020-12-26,Karnali,Salyan,665,649,0,16
2020-12-26,Karnali,Surkhet,2886,2802,14,70
2020-12-26,Karnali,Humla,35,30,1,4
2020-12-26,Sudurpaschim,Achham,1715,1610,5,100
2020-12-26,Sudurpaschim,Kanchanpur,1763,1572,11,180
2020-12-26,Sudurpaschim,Kailali,5702,5384,32,286
2020-12-26,Sudurpaschim,Dadeldhura,735,686,0,49
2020-12-26,Sudurpaschim,Doti,1402,1385,1,16
2020-12-26,Sudurpaschim,Darchula,398,385,4,9
2020-12-26,Sudurpaschim,Bajhang,987,938,1,48
2020-12-26,Sudurpaschim,Bajura,705,693,1,11
2020-12-26,Sudurpaschim,Baitadi,701,655,1,45
