Date,Province,District,Total Cases,Recovered,Death,Under Treatment
2020-11-11,Province 1,Ilam,237,184,1,52
2020-11-11,Province 1,Udayapur,526,377,5,144
2020-11-11,Province 1,Okhaldhunga,202,152,1,49
2020-11-11,Province 1,Khotang,171,118,0,53
2020-11-11,Province 1,Jhapa,3068,2071,19,978
2020-11-11,Province 1,Taplejung,61,47,0,14
2020-11-11,Province 1,Terhathum,101,68,4,29
2020-11-11,Province 1,Dhankuta,188,124,2,62
2020-11-11,Province 1,Panchthar,102,52,0,50
2020-11-11,Province 1,Bhojpur,107,74,0,33
2020-11-11,Province 1,Morang,10747,8737,55,1955
2020-11-11,Province 1,Sankhuwasabha,205,163,0,42
2020-11-11,Province 1,Sunsari,7419,6048,62,1309
2020-11-11,Province 1,Solukhumbu,111,38,1,72
2020-11-11,Province 2,Dhanusa,2662,2399,23,240
2020-11-11,Province 2,Parsa,3289,3154,47,88
2020-11-11,Province 2,Bara,1987,1844,21,122
2020-11-11,Province 2,Mahottari,1910,1834,17,59
2020-11-11,Province 2,Rautahat,2709,2536,12,161
2020-11-11,Province 2,Saptari,1879,1710,16,153
2020-11-11,Province 2,Sarlahi,2709,2628,14,67
2020-11-11,Province 2,Siraha,1995,1787,18,190
2020-11-11,Bagmati,Kathmandu,75320,57867,289,17164
2020-11-11,Bagmati,Kavrepalanchok,2425,1529,13,883
2020-11-11,Bagmati,Chitawan,5891,4470,52,1369
2020-11-11,Bagmati,Dolakha,488,271,9,208
2020-11-11,Bagmati,Dhading,1318,1141,12,165
2020-11-11,Bagmati,Nuwakot,982,585,8,389
2020-11-11,Bagmati,Bhaktapur,6765,5416,74,1275
2020-11-11,Bagmati,Makwanpur,3633,3104,23,506
2020-11-11,Bagmati,Rasuwa,119,83,1,35
2020-11-11,Bagmati,Ramechhap,413,349,5,59
2020-11-11,Bagmati,Lalitpur,10751,8168,77,2506
2020-11-11,Bagmati,Sindhupalchok,710,514,11,185
2020-11-11,Bagmati,Sindhuli,448,359,5,84
2020-11-11,Gandaki,Kaski,3910,2283,29,1598
2020-11-11,Gandaki,Gorkha,996,761,11,224
2020-11-11,Gandaki,Tanahu,1206,908,9,289
2020-11-11,Gandaki,Nawalparasi East,2414,1920,5,489
2020-11-11,Gandaki,Parbat,309,218,0,91
2020-11-11,Gandaki,Manang,5,5,0,0
2020-11-11,Gandaki,Mustang,11,3,2,6
2020-11-11,Gandaki,Myagdi,154,103,2,49
2020-11-11,Gandaki,Lamjung,708,618,1,89
2020-11-11,Gandaki,Baglung,880,761,1,118
2020-11-11,Gandaki,Syangja,811,637,6,168
2020-11-11,Province 5,Arghakhanchi,785,685,5,95
2020-11-11,Province 5,Kapilbastu,1855,1688,14,153
2020-11-11,Province 5,Gulmi,901,771,8,122
2020-11-11,Province 5,Dang,2960,2203,17,740
2020-11-11,Province 5,Nawalparasi West,1171,972,16,183
2020-11-11,Province 5,Palpa,1542,1060,4,478
2020-11-11,Province 5,Pyuthan,881,843,3,35
2020-11-11,Province 5,Bardiya,1401,1174,8,219
2020-11-11,Province 5,Banke,3551,3161,33,357
2020-11-11,Province 5,Rukum East,104,95,0,9
2020-11-11,Province 5,Rupandehi,7231,5928,59,1244
2020-11-11,Province 5,Rolpa,228,176,2,50
2020-11-11,Karnali,Kalikot,272,234,1,37
2020-11-11,Karnali,Jajarkot,100,87,0,13
2020-11-11,Karnali,Jumla,412,348,0,64
2020-11-11,Karnali,Dolpa,30,20,1,9
2020-11-11,Karnali,Dailekh,1538,1450,2,86
2020-11-11,Karnali,Mugu,29,25,0,4
2020-11-11,Karnali,Rukum West,206,181,1,24
2020-11-11,Karnali,Salyan,596,571,0,25
2020-11-11,Karnali,Surkhet,2700,2593,8,99
2020-11-11,Karnali,Humla,27,23,1,3
2020-11-11,Sudurpaschim,Achham,1219,1184,3,32
2020-11-11,Sudurpaschim,Kanchanpur,1230,1085,3,142
2020-11-11,Sudurpaschim,Kailali,4218,3638,17,563
2020-11-11,Sudurpaschim,Dadeldhura,498,444,0,54
2020-11-11,Sudurpaschim,Doti,1321,1269,1,51
2020-11-11,Sudurpaschim,Darchula,322,294,2,26
2020-11-11,Sudurpaschim,Bajhang,755,688,1,66
2020-11-11,Sudurpaschim,Bajura,649,636,1,12
2020-11-11,Sudurpaschim,Baitadi,545,499,0,46
