Date,Province,District,Total Cases,Recovered,Death,Under Treatment
2021-02-23,Province 1,Ilam,478,471,5,2
2021-02-23,Province 1,Udayapur,680,668,10,2
2021-02-23,Province 1,Okhaldhunga,274,267,6,1
2021-02-23,Province 1,Khotang,225,224,1,0
2021-02-23,Province 1,Jhapa,5020,4978,40,2
2021-02-23,Province 1,Taplejung,162,161,0,1
2021-02-23,Province 1,Terhathum,160,153,5,2
2021-02-23,Province 1,Dhankuta,274,264,9,1
2021-02-23,Province 1,Panchthar,184,181,2,1
2021-02-23,Province 1,Bhojpur,164,160,3,1
2021-02-23,Province 1,Morang,13186,13108,66,12
2021-02-23,Province 1,Sankhuwasabha,395,391,2,2
2021-02-23,Province 1,Sunsari,9142,9064,76,2
2021-02-23,Province 1,Solukhumbu,192,187,5,0
2021-02-23,Province 2,Dhanusa,3076,3045,29,2
2021-02-23,Province 2,Parsa,3493,3436,54,3
2021-02-23,Province 2,Bara,2166,2127,32,7
2021-02-23,Province 2,Mahottari,2047,2027,19,1
2021-02-23,Province 2,Rautahat,2797,2772,17,8
2021-02-23,Province 2,Saptari,2154,2121,25,8
2021-02-23,Province 2,Sarlahi,2850,2824,22,4
2021-02-23,Province 2,Siraha,2274,2251,22,1
2021-02-23,Bagmati,Kathmandu,102478,101032,505,941
2021-02-23,Bagmati,Kavrepalanchok,3589,3549,32,8
2021-02-23,Bagmati,Chitawan,8119,8009,67,43
2021-02-23,Bagmati,Dolakha,790,769,16,5
2021-02-23,Bagmati,Dhading,1786,1759,23,4
2021-02-23,Bagmati,Nuwakot,1591,1564,18,9
2021-02-23,Bagmati,Bhaktapur,9304,9162,115,27
2021-02-23,Bagmati,Makwanpur,4429,4383,35,11
2021-02-23,Bagmati,Rasuwa,240,234,1,5
2021-02-23,Bagmati,Ramechhap,571,554,11,6
2021-02-23,Bagmati,Lalitpur,16214,16025,164,25
2021-02-23,Bagmati,Sindhupalchok,1027,1006,16,5
2021-02-23,Bagmati,Sindhuli,593,578,8,7
2021-02-23,Gandaki,Kaski,8074,7888,110,76
2021-02-23,Gandaki,Gorkha,1527,1491,19,17
2021-02-23,Gandaki,Tanahu,1876,1837,31,8
2021-02-23,Gandaki,Nawalparasi East,3122,3102,9,11
2021-02-23,Gandaki,Parbat,508,498,4,6
2021-02-23,Gandaki,Manang,15,11,1,3
2021-02-23,Gandaki,Mustang,43,41,2,0
2021-02-23,Gandaki,Myagdi,303,292,4,7
2021-02-23,Gandaki,Lamjung,1155,1143,7,5
2021-02-23,Gandaki,Baglung,1296,1275,8,13
2021-02-23,Gandaki,Syangja,1214,1184,22,8
2021-02-23,Province 5,Arghakhanchi,1046,1030,11,5
2021-02-23,Province 5,Kapilbastu,2287,2259,19,9
2021-02-23,Province 5,Gulmi,1236,1219,13,4
2021-02-23,Province 5,Dang,4195,4130,41,24
2021-02-23,Province 5,Nawalparasi West,1614,1586,24,4
2021-02-23,Province 5,Palpa,2291,2244,23,24
2021-02-23,Province 5,Pyuthan,1086,1077,5,4
2021-02-23,Province 5,Bardiya,1957,1930,14,13
2021-02-23,Province 5,Banke,5124,5064,45,15
2021-02-23,Province 5,Rukum East,119,116,1,2
2021-02-23,Province 5,Rupandehi,9629,9499,94,36
2021-02-23,Province 5,Rolpa,327,321,3,3
2021-02-23,Karnali,Kalikot,292,289,2,1
2021-02-23,Karnali,Jajarkot,122,120,0,2
2021-02-23,Karnali,Jumla,485,476,1,8
2021-02-23,Karnali,Dolpa,55,53,1,1
2021-02-23,Karnali,Dailekh,1637,1630,5,2
2021-02-23,Karnali,Mugu,35,35,0,0
2021-02-23,Karnali,Rukum West,254,252,2,0
2021-02-23,Karnali,Salyan,675,673,0,2
2021-02-23,Karnali,Surkhet,2932,2915,15,2
2021-02-23,Karnali,Humla,37,35,1,1
2021-02-23,Sudurpaschim,Achham,1752,1747,5,0
2021-02-23,Sudurpaschim,Kanchanpur,1943,1923,12,8
2021-02-23,Sudurpaschim,Kailali,6106,6039,38,29
2021-02-23,Sudurpaschim,Dadeldhura,781,778,0,3
2021-02-23,Sudurpaschim,Doti,1428,1422,2,4
2021-02-23,Sudurpaschim,Darchula,409,404,4,1
2021-02-23,Sudurpaschim,Bajhang,1090,1084,2,4
2021-02-23,Sudurpaschim,Bajura,724,720,2,2
2021-02-23,Sudurpaschim,Baitadi,741,732,2,7
