Date,Province,District,Total Cases,Recovered,Death,Under Treatment
2021-02-08,Province 1,Ilam,476,470,5,1
2021-02-08,Province 1,Udayapur,678,666,10,2
2021-02-08,Province 1,Okhaldhunga,273,263,6,4
2021-02-08,Province 1,Khotang,225,221,1,3
2021-02-08,Province 1,Jhapa,5014,4969,40,5
2021-02-08,Province 1,Taplejung,161,160,0,1
2021-02-08,Province 1,Terhathum,160,149,5,6
2021-02-08,Province 1,Dhankuta,273,262,9,2
2021-02-08,Province 1,Panchthar,183,179,2,2
2021-02-08,Province 1,Bhojpur,163,160,3,0
2021-02-08,Province 1,Morang,13173,13105,66,2
2021-02-08,Province 1,Sankhuwasabha,392,390,1,1
2021-02-08,Province 1,Sunsari,9131,9049,76,6
2021-02-08,Province 1,Solukhumbu,192,187,5,0
2021-02-08,Province 2,Dhanusa,3074,3040,29,5
2021-02-08,Province 2,Parsa,3490,3430,54,6
2021-02-08,Province 2,Bara,2161,2121,32,8
2021-02-08,Province 2,Mahottari,2047,2026,19,2
2021-02-08,Province 2,Rautahat,2790,2768,17,5
2021-02-08,Province 2,Saptari,2149,2115,25,9
2021-02-08,Province 2,Sarlahi,2846,2820,22,4
2021-02-08,Province 2,Siraha,2273,2250,22,1
2021-02-08,Bagmati,Kathmandu,101853,100280,500,1073
2021-02-08,Bagmati,Kavrepalanchok,3579,3539,32,8
2021-02-08,Bagmati,Chitawan,7996,7890,65,41
2021-02-08,Bagmati,Dolakha,783,761,16,6
2021-02-08,Bagmati,Dhading,1779,1752,23,4
2021-02-08,Bagmati,Nuwakot,1576,1541,18,17
2021-02-08,Bagmati,Bhaktapur,9246,9116,115,15
2021-02-08,Bagmati,Makwanpur,4414,4373,35,6
2021-02-08,Bagmati,Rasuwa,236,230,1,5
2021-02-08,Bagmati,Ramechhap,563,550,11,2
2021-02-08,Bagmati,Lalitpur,16105,15911,162,32
2021-02-08,Bagmati,Sindhupalchok,1021,1001,16,4
2021-02-08,Bagmati,Sindhuli,592,576,8,8
2021-02-08,Gandaki,Kaski,7835,7657,107,71
2021-02-08,Gandaki,Gorkha,1512,1473,19,20
2021-02-08,Gandaki,Tanahu,1865,1825,30,10
2021-02-08,Gandaki,Nawalparasi East,3097,3079,9,9
2021-02-08,Gandaki,Parbat,500,488,4,8
2021-02-08,Gandaki,Manang,15,11,1,3
2021-02-08,Gandaki,Mustang,43,40,2,1
2021-02-08,Gandaki,Myagdi,297,277,4,16
2021-02-08,Gandaki,Lamjung,1147,1126,7,14
2021-02-08,Gandaki,Baglung,1281,1256,8,17
2021-02-08,Gandaki,Syangja,1198,1172,21,5
2021-02-08,Province 5,Arghakhanchi,1042,1024,10,8
2021-02-08,Province 5,Kapilbastu,2283,2246,19,18
2021-02-08,Province 5,Gulmi,1234,1199,13,22
2021-02-08,Province 5,Dang,4167,4097,39,31
2021-02-08,Province 5,Nawalparasi West,1611,1581,24,6
2021-02-08,Province 5,Palpa,2262,2226,23,13
2021-02-08,Province 5,Pyuthan,1083,1071,5,7
2021-02-08,Province 5,Bardiya,1941,1918,14,9
2021-02-08,Province 5,Banke,5102,5038,45,19
2021-02-08,Province 5,Rukum East,117,111,1,5
2021-02-08,Province 5,Rupandehi,9589,9447,93,49
2021-02-08,Province 5,Rolpa,324,316,3,5
2021-02-08,Karnali,Kalikot,291,289,2,0
2021-02-08,Karnali,Jajarkot,121,119,0,2
2021-02-08,Karnali,Jumla,478,474,1,3
2021-02-08,Karnali,Dolpa,55,53,1,1
2021-02-08,Karnali,Dailekh,1635,1628,5,2
2021-02-08,Karnali,Mugu,35,35,0,0
2021-02-08,Karnali,Rukum West,254,252,2,0
2021-02-08,Karnali,Salyan,674,672,0,2
2021-02-08,Karnali,Surkhet,2929,2911,15,3
2021-02-08,Karnali,Humla,37,34,1,2
2021-02-08,Sudurpaschim,Achham,1752,1746,5,1
2021-02-08,Sudurpaschim,Kanchanpur,1937,1916,11,10
2021-02-08,Sudurpaschim,Kailali,6079,6019,38,22
2021-02-08,Sudurpaschim,Dadeldhura,781,777,0,4
2021-02-08,Sudurpaschim,Doti,1426,1419,2,5
2021-02-08,Sudurpaschim,Darchula,409,404,4,1
2021-02-08,Sudurpaschim,Bajhang,1090,1083,2,5
2021-02-08,Sudurpaschim,Bajura,724,720,2,2
2021-02-08,Sudurpaschim,Baitadi,736,717,2,17
