Date,Province,District,Total Cases,Recovered,Death,Under Treatment
2020-11-04,Province 1,Ilam,209,171,0,38
2020-11-04,Province 1,Udayapur,440,313,2,125
2020-11-04,Province 1,Okhaldhunga,180,145,1,34
2020-11-04,Province 1,Khotang,140,107,0,33
2020-11-04,Province 1,Jhapa,2541,1626,13,902
2020-11-04,Province 1,Taplejung,51,38,0,13
2020-11-04,Province 1,Terhathum,78,60,3,15
2020-11-04,Province 1,Dhankuta,150,105,1,44
2020-11-04,Province 1,Panchthar,70,50,0,20
2020-11-04,Province 1,Bhojpur,88,69,0,19
2020-11-04,Province 1,Morang,9736,7216,49,2471
2020-11-04,Province 1,Sankhuwasabha,185,145,0,40
2020-11-04,Province 1,Sunsari,6728,5080,57,1591
2020-11-04,Province 1,Solukhumbu,104,27,1,76
2020-11-04,Province 2,Dhanusa,2532,2307,22,203
2020-11-04,Province 2,Parsa,3230,3092,47,91
2020-11-04,Province 2,Bara,1921,1774,20,127
2020-11-04,Province 2,Mahottari,1867,1769,17,81
2020-11-04,Province 2,Rautahat,2672,2493,11,168
2020-11-04,Province 2,Saptari,1792,1585,13,194
2020-11-04,Province 2,Sarlahi,2657,2597,14,46
2020-11-04,Province 2,Siraha,1888,1734,15,139
2020-11-04,Bagmati,Kathmandu,67358,50682,256,16420
2020-11-04,Bagmati,Kavrepalanchok,1989,1273,11,705
2020-11-04,Bagmati,Chitawan,5293,3867,50,1376
2020-11-04,Bagmati,Dolakha,374,229,8,137
2020-11-04,Bagmati,Dhading,1249,1006,12,231
2020-11-04,Bagmati,Nuwakot,828,449,7,372
2020-11-04,Bagmati,Bhaktapur,6085,4903,68,1114
2020-11-04,Bagmati,Makwanpur,3423,2777,22,624
2020-11-04,Bagmati,Rasuwa,109,72,1,36
2020-11-04,Bagmati,Ramechhap,377,307,3,67
2020-11-04,Bagmati,Lalitpur,9503,7165,64,2274
2020-11-04,Bagmati,Sindhupalchok,601,443,10,148
2020-11-04,Bagmati,Sindhuli,408,322,2,84
2020-11-04,Gandaki,Kaski,3117,1880,27,1210
2020-11-04,Gandaki,Gorkha,897,691,9,197
2020-11-04,Gandaki,Tanahu,1077,806,8,263
2020-11-04,Gandaki,Nawalparasi East,2106,1577,5,524
2020-11-04,Gandaki,Parbat,254,198,0,56
2020-11-04,Gandaki,Manang,5,5,0,0
2020-11-04,Gandaki,Mustang,7,2,2,3
2020-11-04,Gandaki,Myagdi,140,88,2,50
2020-11-04,Gandaki,Lamjung,661,587,0,74
2020-11-04,Gandaki,Baglung,815,695,1,119
2020-11-04,Gandaki,Syangja,713,599,5,109
2020-11-04,Province 5,Arghakhanchi,730,623,5,102
2020-11-04,Province 5,Kapilbastu,1763,1586,11,166
2020-11-04,Province 5,Gulmi,816,720,8,88
2020-11-04,Province 5,Dang,2565,1851,10,704
2020-11-04,Province 5,Nawalparasi West,1063,880,13,170
2020-11-04,Province 5,Palpa,1092,1018,4,70
2020-11-04,Province 5,Pyuthan,857,798,3,56
2020-11-04,Province 5,Bardiya,1286,1115,7,164
2020-11-04,Province 5,Banke,3355,2915,28,412
2020-11-04,Province 5,Rukum East,102,90,0,12
2020-11-04,Province 5,Rupandehi,6619,5336,54,1229
2020-11-04,Province 5,Rolpa,186,171,1,14
2020-11-04,Karnali,Kalikot,268,227,1,40
2020-11-04,Karnali,Jajarkot,98,85,0,13
2020-11-04,Karnali,Jumla,390,330,0,60
2020-11-04,Karnali,Dolpa,26,17,1,8
2020-11-04,Karnali,Dailekh,1498,1394,2,102
2020-11-04,Karnali,Mugu,26,16,0,10
2020-11-04,Karnali,Rukum West,198,168,1,29
2020-11-04,Karnali,Salyan,576,562,0,14
2020-11-04,Karnali,Surkhet,2626,2583,8,35
2020-11-04,Karnali,Humla,25,22,0,3
2020-11-04,Sudurpaschim,Achham,1198,1157,3,38
2020-11-04,Sudurpaschim,Kanchanpur,1128,1049,2,77
2020-11-04,Sudurpaschim,Kailali,3834,3378,10,446
2020-11-04,Sudurpaschim,Dadeldhura,467,423,0,44
2020-11-04,Sudurpaschim,Doti,1296,1252,0,44
2020-11-04,Sudurpaschim,Darchula,306,285,1,20
2020-11-04,Sudurpaschim,Bajhang,714,679,1,34
2020-11-04,Sudurpaschim,Bajura,637,636,1,0
2020-11-04,Sudurpaschim,Baitadi,530,486,0,44
