Date,Province,District,Total Cases,Recovered,Death,Under Treatment
2020-12-22,Province 1,Ilam,455,430,5,20
2020-12-22,Province 1,Udayapur,654,636,9,9
2020-12-22,Province 1,Okhaldhunga,260,231,4,25
2020-12-22,Province 1,Khotang,212,205,0,7
2020-12-22,Province 1,Jhapa,4822,4750,36,36
2020-12-22,Province 1,Taplejung,158,136,0,22
2020-12-22,Province 1,Terhathum,148,131,5,12
2020-12-22,Province 1,Dhankuta,259,249,7,3
2020-12-22,Province 1,Panchthar,169,161,1,7
2020-12-22,Province 1,Bhojpur,152,145,2,5
2020-12-22,Province 1,Morang,12866,12713,65,88
2020-12-22,Province 1,Sankhuwasabha,380,371,1,8
2020-12-22,Province 1,Sunsari,8939,8789,76,74
2020-12-22,Province 1,Solukhumbu,185,176,3,6
2020-12-22,Province 2,Dhanusa,3021,2985,27,9
2020-12-22,Province 2,Parsa,3451,3382,54,15
2020-12-22,Province 2,Bara,2131,2089,29,13
2020-12-22,Province 2,Mahottari,2029,2001,19,9
2020-12-22,Province 2,Rautahat,2775,2756,17,2
2020-12-22,Province 2,Saptari,2103,2078,23,2
2020-12-22,Province 2,Sarlahi,2828,2807,20,1
2020-12-22,Province 2,Siraha,2255,2228,21,6
2020-12-22,Bagmati,Kathmandu,95209,91409,454,3346
2020-12-22,Bagmati,Kavrepalanchok,3349,3201,30,118
2020-12-22,Bagmati,Chitawan,7268,7129,61,78
2020-12-22,Bagmati,Dolakha,705,644,12,49
2020-12-22,Bagmati,Dhading,1669,1599,20,50
2020-12-22,Bagmati,Nuwakot,1391,1329,14,48
2020-12-22,Bagmati,Bhaktapur,8687,8357,97,233
2020-12-22,Bagmati,Makwanpur,4261,4140,33,88
2020-12-22,Bagmati,Rasuwa,207,186,1,20
2020-12-22,Bagmati,Ramechhap,527,517,7,3
2020-12-22,Bagmati,Lalitpur,14891,14184,142,565
2020-12-22,Bagmati,Sindhupalchok,953,917,14,22
2020-12-22,Bagmati,Sindhuli,556,517,6,33
2020-12-22,Gandaki,Kaski,6658,6111,99,448
2020-12-22,Gandaki,Gorkha,1414,1342,15,57
2020-12-22,Gandaki,Tanahu,1723,1606,26,91
2020-12-22,Gandaki,Nawalparasi East,2950,2889,7,54
2020-12-22,Gandaki,Parbat,441,409,4,28
2020-12-22,Gandaki,Manang,5,5,0,0
2020-12-22,Gandaki,Mustang,42,38,2,2
2020-12-22,Gandaki,Myagdi,231,212,4,15
2020-12-22,Gandaki,Lamjung,1054,965,6,83
2020-12-22,Gandaki,Baglung,1141,1110,4,27
2020-12-22,Gandaki,Syangja,1121,1074,11,36
2020-12-22,Province 5,Arghakhanchi,946,891,8,47
2020-12-22,Province 5,Kapilbastu,2152,2069,18,65
2020-12-22,Province 5,Gulmi,1149,1091,10,48
2020-12-22,Province 5,Dang,3921,3750,35,136
2020-12-22,Province 5,Nawalparasi West,1513,1462,20,31
2020-12-22,Province 5,Palpa,2064,1986,6,72
2020-12-22,Province 5,Pyuthan,1043,996,5,42
2020-12-22,Province 5,Bardiya,1797,1719,13,65
2020-12-22,Province 5,Banke,4470,4319,38,113
2020-12-22,Province 5,Rukum East,110,104,0,6
2020-12-22,Province 5,Rupandehi,8903,8554,70,279
2020-12-22,Province 5,Rolpa,295,275,3,17
2020-12-22,Karnali,Kalikot,286,280,2,4
2020-12-22,Karnali,Jajarkot,116,111,0,5
2020-12-22,Karnali,Jumla,464,440,1,23
2020-12-22,Karnali,Dolpa,43,30,1,12
2020-12-22,Karnali,Dailekh,1612,1597,4,11
2020-12-22,Karnali,Mugu,35,35,0,0
2020-12-22,Karnali,Rukum West,253,243,2,8
2020-12-22,Karnali,Salyan,664,642,0,22
2020-12-22,Karnali,Surkhet,2868,2766,14,88
2020-12-22,Karnali,Humla,34,30,1,3
2020-12-22,Sudurpaschim,Achham,1690,1554,4,132
2020-12-22,Sudurpaschim,Kanchanpur,1662,1502,11,149
2020-12-22,Sudurpaschim,Kailali,5579,5239,31,309
2020-12-22,Sudurpaschim,Dadeldhura,721,673,0,48
2020-12-22,Sudurpaschim,Doti,1394,1370,1,23
2020-12-22,Sudurpaschim,Darchula,392,381,4,7
2020-12-22,Sudurpaschim,Bajhang,956,921,1,34
2020-12-22,Sudurpaschim,Bajura,703,692,1,10
2020-12-22,Sudurpaschim,Baitadi,696,648,1,47
